number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,average price,special requests,booking status
3,0,1,3,Meal Plan 1,0,Room_Type 4,184,Online,128.7,2,Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,118,Offline,110,0,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Offline,107,0,Canceled
2,0,2,3,Meal Plan 2,0,Room_Type 1,137,Online,146.1,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,11,Online,69.6,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,120,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 7,190,Offline,110,0,Canceled
3,0,2,4,Meal Plan 2,0,Room_Type 4,85,Online,201.6,1,Not_Canceled
1,1,2,0,Meal Plan 1,0,Room_Type 1,0,Online,9,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,25,Online,78.3,0,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,263,Online,63.75,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,34,Online,95.2,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,3,Corporate,120,0,Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,118,Offline,110,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,265,Offline,115,1,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,286,Online,117,1,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,113,Corporate,100,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 5,227,Corporate,106,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,37,Online,95.4,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,164,Online,126.9,1,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,101,Offline,95.88,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,12,Online,81,0,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,13,Online,95,0,Canceled
2,2,0,1,Meal Plan 1,1,Room_Type 6,30,Online,216.9,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,308,Offline,52,0,Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,220,Offline,172,0,Canceled
2,2,2,1,Meal Plan 1,1,Room_Type 6,153,Online,186.3,2,Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,150,Offline,101,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,10,Offline,85,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,377,Offline,115,1,Canceled
2,0,0,4,Meal Plan 2,0,Room_Type 1,100,Offline,140,1,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,4,Corporate,98.32,0,Not_Canceled
1,0,2,5,Meal Plan 1,0,Room_Type 1,89,Offline,85,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,1,Offline,60,0,Canceled
2,1,1,5,Meal Plan 1,0,Room_Type 1,35,Online,98.1,1,Canceled
2,1,1,2,Meal Plan 1,0,Room_Type 1,52,Online,132.9,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,49,Online,93.15,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,73,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,50,Offline,52,1,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,220,Online,80.75,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,43,Online,88.46,1,Not_Canceled
2,2,3,8,Meal Plan 1,0,Room_Type 6,346,Online,146.59,2,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,1,Offline,80.27,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,229,Online,89.25,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Offline,75,0,Canceled
2,0,2,0,Meal Plan 2,0,Room_Type 1,386,Online,115,1,Canceled
2,2,2,3,Meal Plan 1,0,Room_Type 6,14,Online,199.8,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,163,Offline,115,0,Canceled
2,2,0,1,Meal Plan 1,0,Room_Type 6,5,Online,231,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,132,Online,101.58,1,Not_Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 1,2,Online,99.5,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,99,Corporate,80,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,8,Online,184,0,Not_Canceled
1,0,2,1,Meal Plan 2,0,Room_Type 1,220,Offline,128,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,297,Online,90.95,0,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,205,Offline,80.24,0,Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,247,Online,115,1,Canceled
2,0,2,0,Meal Plan 2,0,Room_Type 1,275,Offline,110,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,115,Online,1,0,Not_Canceled
3,0,2,4,Meal Plan 1,0,Room_Type 4,111,Online,150.3,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,151,Offline,71,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,180,Offline,100,1,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2,Online,98,2,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,49,Online,74.8,2,Canceled
2,1,2,1,Meal Plan 1,0,Room_Type 1,2,Offline,68.5,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,28,Online,132.05,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,8,Online,146,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,4,Online,91,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,99,Corporate,81,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 2,93,Online,81.5,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,36,Online,88.4,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Online,115,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 2,353,Online,73.74,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,186,Online,102.6,2,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,58,Online,139.5,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 2,66,Online,127.38,1,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,96,Online,79.2,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,7,Online,89.59,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,11,Online,145,1,Not_Canceled
2,0,2,3,Meal Plan 2,0,Room_Type 1,137,Online,117.3,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,180,Online,105.3,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,115.2,0,Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 4,76,Online,142.2,0,Not_Canceled
2,2,2,3,Meal Plan 2,0,Room_Type 6,99,Online,236.52,0,Canceled
3,0,0,3,Meal Plan 2,0,Room_Type 1,8,Offline,156.5,4,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,73,Online,140.4,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,0,Offline,12,0,Not_Canceled
3,0,1,0,Meal Plan 1,0,Room_Type 4,71,Online,168.3,0,Not_Canceled
2,2,1,0,Meal Plan 1,0,Room_Type 6,1,Online,153,2,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Offline,75,0,Not_Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,98.1,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2,Online,72.2,0,Not_Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,6,Online,80,2,Not_Canceled
2,0,0,4,Meal Plan 1,1,Room_Type 1,54,Online,97.4,1,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 1,186,Offline,96.9,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,304,Online,74.15,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,99,Online,135.9,1,Canceled
2,0,1,2,Not Selected,1,Room_Type 1,190,Online,103.5,2,Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,164,Online,93.5,2,Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,138,Offline,94.5,0,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,9,Online,67.5,0,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,80,0,Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,124,Offline,94.5,0,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,213,Online,92.65,0,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,57,Online,88.4,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,143,Online,114.3,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,166,Online,110,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 2,11,Online,127.6,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,3,Corporate,99,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 4,64,Online,149.4,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,43,Online,126.9,0,Canceled
2,0,0,4,Meal Plan 2,0,Room_Type 1,296,Offline,117,1,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 2,223,Online,86.63,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,140,Online,96.3,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,193,Online,149.81,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,270,Offline,62.8,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,97,Online,140.5,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Online,95,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,20,Online,122,1,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 4,6,Offline,80.2,0,Not_Canceled
2,2,0,1,Meal Plan 1,0,Room_Type 6,131,Online,177.3,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,164,Offline,100,0,Not_Canceled
3,0,2,0,Meal Plan 1,0,Room_Type 1,47,Offline,98.1,2,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,4,Online,120,3,Not_Canceled
2,1,0,3,Meal Plan 1,0,Room_Type 1,93,Online,149.1,2,Canceled
2,0,0,1,Not Selected,1,Room_Type 1,0,Online,161,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Corporate,88,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,197,Online,106.2,2,Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,220,Offline,172,0,Canceled
1,0,2,3,Meal Plan 2,0,Room_Type 1,3,Offline,79.75,0,Not_Canceled
2,2,2,1,Meal Plan 1,0,Room_Type 6,153,Online,189.9,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,24,Online,109.33,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,84,Online,89.25,2,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,171,Online,126.9,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,8,Online,156,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,172,Online,96.3,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,75,Offline,80,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,70,Offline,80.75,0,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,60,Online,74.8,0,Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 4,11,Online,182.75,1,Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 1,133,Online,137.7,2,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,18,Online,129,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Offline,115,1,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,5,Online,90,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,49,Online,93.15,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2,Online,89,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,29,Corporate,85,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,6,Online,106,2,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,61,Offline,91,0,Not_Canceled
2,2,2,2,Meal Plan 1,0,Room_Type 6,144,Online,177.65,1,Canceled
2,0,3,5,Meal Plan 1,0,Room_Type 1,224,Online,72.76,0,Canceled
2,0,2,3,Meal Plan 2,0,Room_Type 4,39,Online,136.08,1,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 4,93,Online,119,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,63,Online,149.4,1,Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,162,Offline,115,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,81,Online,116.1,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Online,115,1,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,74,Online,132.3,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,138,Online,104.55,0,Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,346,Offline,90,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Offline,130,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,113,Corporate,100,0,Canceled
2,1,0,3,Meal Plan 1,0,Room_Type 1,188,Online,116.7,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,279,Offline,110,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,244,Online,85.85,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,14,Online,97.67,1,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,0,Online,75,0,Canceled
2,0,2,4,Not Selected,0,Room_Type 1,2,Online,80.67,0,Not_Canceled
1,0,0,3,Not Selected,0,Room_Type 1,110,Online,85.87,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,279,Offline,110,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,10,Corporate,66,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,27,Online,111.2,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,109,0,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,4,Online,124,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,8,Online,101,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,101.5,0,Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,72,Online,87.3,0,Canceled
2,0,0,4,Not Selected,0,Room_Type 1,135,Online,89.25,0,Canceled
2,1,1,3,Meal Plan 1,0,Room_Type 1,207,Online,123.25,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,73,Online,126.9,0,Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,176,Online,137.7,2,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,6,Online,87,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,322,Offline,80,0,Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,88,Offline,112.2,0,Not_Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,36,Online,159.3,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,123,Online,72.25,2,Canceled
2,0,2,3,Not Selected,0,Room_Type 1,81,Online,73.9,0,Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 1,80,Offline,96.9,0,Not_Canceled
2,2,2,1,Meal Plan 1,0,Room_Type 6,57,Online,177.3,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Offline,95,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 2,26,Online,85,0,Not_Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,27,Online,187,2,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 4,16,Online,127.5,0,Canceled
1,0,2,7,Meal Plan 1,0,Room_Type 1,0,Complementary,0,0,Not_Canceled
2,0,1,4,Meal Plan 2,0,Room_Type 1,9,Offline,116.04,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,15,Online,129,1,Canceled
1,0,0,1,Meal Plan 1,1,Room_Type 1,52,Corporate,67,0,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,35,Corporate,89,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,114,Online,128.7,0,Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,202,Online,128.7,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,303,Online,78,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,346,Offline,115,1,Canceled
2,2,1,5,Meal Plan 1,0,Room_Type 2,18,Online,77.88,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,115.2,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Offline,75,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,59,Online,93.6,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,108,Online,118.8,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,7,Online,184,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,69,Online,69.99,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,40,Online,72.9,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,82,Online,112.1,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,28,Corporate,100,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,122,Offline,75,0,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,18,Online,118.67,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,27,Online,141,0,Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,84,Online,159.3,0,Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 1,19,Online,118.67,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,177,Offline,72.25,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,53,Offline,60,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,191,Online,71.1,0,Canceled
2,0,2,0,Not Selected,0,Room_Type 1,47,Online,116.1,0,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,1,Online,107.03,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,21,Online,85,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,4,Corporate,66,0,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 4,144,Online,112.8,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,98,Offline,95,1,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,63,Online,68,0,Canceled
1,0,1,4,Meal Plan 1,0,Room_Type 1,150,Offline,80,0,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,18,Online,139,1,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,244,Online,68.25,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,99,Corporate,80.5,0,Not_Canceled
1,0,2,1,Not Selected,0,Room_Type 1,8,Online,85.35,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,55,Online,75.95,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Offline,75,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,109,0,Not_Canceled
2,0,2,0,Not Selected,0,Room_Type 1,196,Online,116.1,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,101.5,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,12,Online,154,0,Canceled
2,0,0,4,Not Selected,0,Room_Type 1,135,Online,55.08,0,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,46,Online,119.5,2,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,302,Offline,100,0,Canceled
2,0,4,6,Meal Plan 1,0,Room_Type 1,207,Offline,72.25,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,25,Offline,76.5,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,172,Online,88.7,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,332,Online,77.23,2,Not_Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 4,12,Online,156,3,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,4,Online,159,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,74,Online,118.8,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,48,Offline,130,0,Not_Canceled
2,1,2,1,Meal Plan 1,0,Room_Type 1,110,Online,95,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,0,Online,180,0,Not_Canceled
3,0,1,4,Meal Plan 1,0,Room_Type 4,124,Online,146.7,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,35,Online,96.3,2,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,23,Online,119,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Offline,75,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,18,Online,129,1,Canceled
2,0,2,5,Not Selected,0,Room_Type 1,60,Online,60.27,0,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,8,Online,99,1,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,99,Corporate,81,0,Not_Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,70,Online,134.1,0,Canceled
1,0,0,4,Meal Plan 1,0,Room_Type 1,5,Corporate,65,0,Not_Canceled
2,2,1,3,Meal Plan 1,0,Room_Type 6,77,Online,187.85,1,Not_Canceled
1,0,0,1,Meal Plan 2,0,Room_Type 1,184,Online,82.12,2,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,188,Online,85.5,2,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,279,Offline,110,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,28,Online,73.88,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,Online,138.99,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,1,Online,111,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,123,Online,99.45,0,Canceled
1,0,2,7,Meal Plan 1,0,Room_Type 4,28,Online,101.78,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,19,Online,148,1,Not_Canceled
1,0,2,5,Not Selected,0,Room_Type 1,23,Online,89.64,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,34,Online,78.3,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,78,Offline,100,0,Canceled
1,0,1,1,Not Selected,0,Room_Type 1,44,Online,87.2,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,46,Offline,60,0,Not_Canceled
2,0,2,0,Meal Plan 2,0,Room_Type 1,275,Offline,110,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,0,Online,68.53,0,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,88,Online,82.45,1,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,131,Offline,94.5,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,68,Online,108.38,1,Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 1,169,Offline,106,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,42,Online,104,2,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,73,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,75,Offline,80.75,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Offline,75,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,174,Offline,70,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,133,Online,120.7,2,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,12,Online,101.68,1,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,67,Online,161.1,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,1,Online,105,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,1,Offline,100,0,Not_Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 4,154,Online,151.2,2,Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,161,Offline,130,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,102,Offline,48.67,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,23,Online,140,0,Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 1,36,Online,135.9,0,Not_Canceled
2,0,2,3,Meal Plan 2,0,Room_Type 1,111,Online,139.5,1,Not_Canceled
1,0,1,0,Not Selected,0,Room_Type 1,6,Online,88,1,Not_Canceled
0,2,2,3,Meal Plan 1,0,Room_Type 2,185,Online,84.82,0,Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,83,Offline,112.2,0,Not_Canceled
2,1,2,3,Meal Plan 1,0,Room_Type 1,9,Online,154.4,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,24,Online,117,1,Not_Canceled
3,0,1,1,Meal Plan 2,0,Room_Type 4,193,Online,189,1,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Offline,120,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,110,Online,76.5,1,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,13,Online,129,1,Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,68,Offline,58,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,183,Offline,110,1,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,240,Online,85.5,1,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,18,Online,98.57,2,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,18,Online,99.75,1,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,125,Online,138.3,0,Canceled
1,0,1,1,Not Selected,0,Room_Type 1,48,Online,107.1,1,Canceled
2,0,0,4,Meal Plan 2,0,Room_Type 4,63,Online,144.5,2,Canceled
2,0,2,1,Meal Plan 1,1,Room_Type 2,278,Online,103.95,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,0,Online,89,1,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,119,Online,68,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,68,Online,89.25,1,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,5,Corporate,65,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,17,Online,133.5,0,Canceled
